# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 13.329996
2, 1.773786, , , 13.329996
3, 2.390317, , , 13.329996
4, 2.893109, , , 13.329996
5, 3.310978, , , 13.329996
6, 3.663765, , , 13.329996
7, 3.965575, , , 13.329996
8, 4.226714, , , 13.329996
9, 4.454882, , , 13.329996
10, 4.655955, , , 13.329996
11, 4.834487, , , 13.329996
12, 4.994067, , , 13.329996
13, 5.137562, , , 13.329996
14, 5.267287, , , 13.329996
15, 5.385132, , , 13.329996
16, 5.492659, , , 13.329996
