# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 50.951719
2, 1.935425, , , 50.951719
3, 2.812333, , , 50.951719
4, 3.63605, , , 50.951719
5, 4.411273, , , 50.951719
6, 5.142161, , , 50.951719
7, 5.832412, , , 50.951719
8, 6.485324, , , 50.951719
9, 7.103846, , , 50.951719
10, 7.690626, , , 50.951719
11, 8.248046, , , 50.951719
12, 8.778256, , , 50.951719
13, 9.283201, , , 50.951719
14, 9.764645, , , 50.951719
15, 10.22419, , , 50.951719
16, 10.663299, , , 50.951719
